[2019-06-27 14:15:58,889]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 14:28:16,769]-deploy.py[line:500] - INFO: 生成static-node.json
[2019-06-27 14:28:56,039]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 14:38:35,867]-deploy.py[line:500] - INFO: 生成static-node.json
[2019-06-27 14:39:14,883]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 14:46:34,388]-deploy.py[line:500] - INFO: 生成static-node.json
[2019-06-27 14:47:13,568]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 15:11:11,351]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 15:16:37,103]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 15:19:27,290]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 16:22:48,424]-deploy.py[line:332] - INFO: 所有节点启动成功
[2019-06-27 16:43:31,906]-deploy.py[line:332] - INFO: 所有节点启动成功
